"MEU DEUS 
"RT @zerohora: Polticos, economistas, filsofos e representantes de entidades internacionais participam do Frum da Liberdade https://t.co/",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"@onyxlorenzoni  um cara de pau, como diz o Doria. #LulaNaCadeia",
RT @celsodossi: Vim do futuro para contar que Joo Dria ser nosso prximo presidente.,
Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/H3zel2jBzx,
Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/NjwtNvUseW,
RT @ricribeirinha: @jdoriajr Parabns Joo Dria eu que amo poltica pblica me enche os olhos ver voc trabalhando! Poltica  isto a arte,
PATRIOTAS DO RIO NO TIVERAM PROBLEMA COM A PM DO COMUNISTA DORIA!!! https://t.co/RFwdDMvhXE,
"RT @DanielGuth: Kennedy Alencar: No o comove o argumento de q a velocidade agrava o ferimento e aumenta risco de morte?

Doria: No.",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"Retweeted Mov. Brasil Livre (@MBLivre):

Doria fez jornalista passar vergonha. https://t.co/meLrrleq8O https://t.co/xe7wFBuVjE",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @blogdojefferson: O prefeito Joo Dria remanejou R$ 438 milhes e quitou os salrios dos professores de SP. Dria colocou gua no todin,
RT @implicante_org: Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/98w6KoH3mY https://t.c,
"@FeIipeOliveira no acho que o Dria seja igual aos do PSDB, problema  q nunca vo deixar ele governar s, vo querer influencia-lo.",
Gostei de um vdeo @YouTube de @vannuccimarcelo https://t.co/aRHMD6GqHB Joo Dria destri a Globo Lixo e as suas reprteres ao,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
RT @tarlouze: CUT-SP condena tentativa de Alckmin e Doria de barrar o direito  greve dos metrovirios e https://t.co/M6dsdKx7tx https://t,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
"O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/SuXQDDHsjX",
RT @DCM_online: O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/lyMzrc,
"1ra Reunio c/ o Prefeito de So Paulo Joo Dria - Em pauta, https://t.co/WE5H9Fl7Pa",
RT @DCM_online: O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/lyMzrc,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
@santosrn_ Simpatizo o Doria mas  farinha do msm saco. Bolsonaro  muito radical. PT/PSDB no dar. T esperando surgir outra opo!,
"Polticos, economistas, filsofos e representantes de entidades internacionais participam do Frum da Liberdade https://t.co/aRFtgxGR90",
